date,fill_mode,alpha_enabled,validation_score_improvement,classification_accuracy,calibrator_slope_ticks,traditional_baseline_net_pnl_hkd,traditional_baseline_maker_fills,directional_kill_switch_net_pnl_hkd,directional_kill_switch_maker_fills,paired_no_signal_ablation_net_pnl_hkd,paired_no_signal_ablation_maker_fills
2026-07-03,through,True,3605.6455734558726,0.6056882704997698,0.8172323717289416,-31403.882213635035,4220,-23664.472330739613,4558,-31403.882213635035,4220
2026-07-03,touch,True,3605.6455734558726,0.6056882704997698,0.8172323717289416,-29956.14481972626,5373,-20933.892185479293,4884,-29956.14481972626,5373
2026-07-06,through,True,1643.9799704087745,0.6046220034049602,0.2631824782344388,-16670.671298000016,3218,-16128.514568000019,3448,-16670.671298000016,3218
2026-07-06,touch,True,1643.9799704087745,0.6046220034049602,0.2631824782344388,-11260.651915999975,4272,-12165.598193999987,4082,-11260.651915999975,4272
2026-07-07,through,True,5680.947502661369,0.587891742576211,0.2761110595682823,-17508.93573963501,6106,-17254.87917243816,5785,-17508.93573963501,6106
2026-07-07,touch,True,5680.947502661369,0.587891742576211,0.2761110595682823,-10516.637949635031,7820,-12932.294940438118,7231,-10516.637949635031,7820
2026-07-08,through,True,684.161753499975,0.592984343670749,0.2265728037225334,-19558.825414520637,5498,-19347.48046052063,5544,-19558.825414520637,5498
2026-07-08,touch,True,684.161753499975,0.592984343670749,0.2265728037225334,-13448.414287260359,7109,-13838.97593326035,7145,-13448.414287260359,7109
2026-07-09,through,True,6315.982414341943,0.5894925142422618,0.47815766330830783,-22036.97575352741,5361,-19674.41850600003,5213,-25527.221257054785,5550
2026-07-09,touch,True,6315.982414341943,0.5894925142422618,0.47815766330830783,-17267.60716952742,7127,-15127.628738000067,6591,-20685.134264582208,7367
2026-07-10,through,True,890.4211513323135,0.5859935659490225,0.2525914110688899,-12386.262686213648,3033,-14600.685529999999,3242,-12386.262686213648,3033
2026-07-10,touch,True,890.4211513323135,0.5859935659490225,0.2525914110688899,-10625.485824000005,4066,-10946.020065999994,4339,-10625.485824000005,4066
2026-07-14,through,True,2083.178354839074,0.5939180348945374,0.0,-9667.42283,4286,-8838.241602202848,4235,-9667.42283,4286
2026-07-14,touch,True,2083.178354839074,0.5939180348945374,0.0,-5014.884734000007,6008,-3539.3077202028326,6019,-5014.884734000007,6008
2026-07-15,through,True,1393.9737619089683,0.6165206663649031,0.17113283919453193,-7281.831145781011,3041,-7058.414604843778,3324,-7281.831145781011,3041
2026-07-15,touch,True,1393.9737619089683,0.6165206663649031,0.17113283919453193,-8696.708553927005,4491,-4235.543290421909,4835,-8696.708553927005,4491
2026-07-16,through,True,3872.486909702312,0.5986520529402918,0.20166173723289096,-12141.748815156185,3096,-7571.760198312377,2748,-12141.748815156185,3096
2026-07-16,touch,True,3872.486909702312,0.5986520529402918,0.20166173723289096,-8289.678128734284,4471,-4363.186680312373,3866,-8289.678128734284,4471
2026-07-17,through,True,1031.048415306921,0.6565298192262207,0.2051195015047753,-1556.2911136822222,1212,-1680.0422385233323,1159,-1218.2183225233316,1133
2026-07-17,touch,True,1031.048415306921,0.6565298192262207,0.2051195015047753,4.771767158889816,1749,378.3948943177784,1732,74.17364715888743,1611
2026-07-20,through,True,1104.1962971723922,0.6009842254280706,0.7153516720808842,-6082.702126472617,2657,-8019.445718734264,3638,-7336.355053999989,3046
